Timestamp,V1_Distance,V2_Distance,V1_Match,V2_Match
1.2901239395141602,0.3063342397986668,0.6479474769306699,Stranger,Max
1.5601747035980225,0.32823142223040946,0.8580485863059808,Max,Max
1.7683064937591553,0.3427238665436827,0.38281002507993045,Max,Max
1.9765934944152832,0.3072013191076498,0.3500955611571225,Max,Max
2.1811842918395996,0.31064003162408804,0.42178459582050476,Max,Max
2.3837103843688965,0.23697845121133876,0.34277207678003174,Max,Max
2.587261915206909,0.25986336486697004,0.30789340949194965,Max,Max
2.783508777618408,0.315287338319273,0.36602490955045874,Max,Max
2.9885895252227783,0.26360291960582405,0.34970815109838127,Max,Max
3.193636894226074,0.2471873371467198,0.34010798273670506,Max,Max
3.396625280380249,0.27779274536125054,0.34526198409530273,Max,Max
3.626713275909424,0.2504251661901834,0.3007631910590415,Max,Max
3.857011556625366,0.2954060956132305,0.37339662533910856,Max,Max
4.093747138977051,0.32813767935262994,0.4031048166169213,Max,Max
4.31611967086792,0.28195373333519747,0.8153208701687022,Max,Max
4.561774015426636,0.25779289265698635,0.39195596464051996,Max,Max
4.758318662643433,0.28235429585645955,0.31828725049401096,Max,Max
4.961945295333862,0.24809078837915188,0.28512078573982436,Max,Max
5.165762901306152,0.24492540064342383,0.23359965797505255,Max,Max
5.362229347229004,0.2401964855337273,0.28286591318277055,Max,Max
5.575333595275879,0.19268197027514955,0.23867577147680819,Max,Max
5.773812770843506,0.2631035135654619,0.33036860002205304,Max,Max
5.979647874832153,0.32668367867321546,0.4062947066665413,Max,Max
6.190095901489258,0.2952444150104696,0.3169080815984755,Max,Max
6.413039684295654,0.2807599045333139,0.24170178906400674,Max,Max
6.6500043869018555,0.31727997440906486,0.30213491639862966,Max,Max
6.8796117305755615,0.26579625004977314,0.28614159538098694,Max,Max
7.115605115890503,0.2931629886593461,0.3396118625162796,Max,Max
7.36720085144043,0.29681565296343615,0.31017808145615144,Max,Max
7.568768262863159,0.3681755700532393,0.30971991697481704,Max,Max
7.778249502182007,0.35283589482460875,0.3474210939128297,Stranger,Max
7.982131481170654,0.34036628218753706,0.3707538642727275,Max,Max
8.198499917984009,0.3270333127476037,0.7095504089548779,Max,Max
8.423792600631714,0.2657739821932684,0.3859586089818938,Max,Max
8.631252765655518,0.32935732634077597,0.3304958596259884,Max,Max
8.826797485351562,0.24783295238973369,0.3044588618980093,Max,Max
9.031126499176025,0.40780364496986754,0.31407489055966453,Max,Max
9.224892854690552,0.22230286958192869,0.2820324879301488,Max,Max
9.447592973709106,0.30024099338727916,0.35170206590570985,Max,Max
9.682363510131836,0.34907472994322,0.3644602432171513,Max,Max
9.924503564834595,0.2608504555501786,0.39715912470620907,Max,Max
10.162246704101562,0.2874504214774115,0.36432457658620776,Max,Max
10.397192478179932,0.30353143331350674,0.34594219543074245,Max,Max
10.594722032546997,0.2973571258924437,0.3818584821854951,Max,Max
10.783373832702637,0.33611700666379085,0.7827244445909546,Max,Max
10.999959468841553,0.29541339436547975,0.800425302440782,Max,Max
11.211013317108154,0.29192711891309586,0.5007167511713732,Max,Max
11.409290552139282,0.3047086235135982,0.8378454844632921,Max,Max
11.616373777389526,0.36084468860620755,0.5815233064532134,Max,Max
11.801922798156738,0.2653946333419328,0.28342729757480045,Max,Max
11.99569296836853,0.2943890942532036,0.2690517863499914,Max,Max
12.191073417663574,0.302862618209467,0.23127495415948585,Max,Max
12.42192792892456,0.3040540595583392,0.22641607398394592,Max,Max
12.656769275665283,0.23658091822442717,0.27442711787618146,Max,Max
12.881473779678345,0.29578461372564113,0.24512615933988857,Max,Max
13.107086896896362,0.29271995328811573,0.27201709874766844,Max,Max
13.333433151245117,0.2740571623228868,0.30290460984350276,Max,Max
13.539785385131836,0.31019757256942226,0.2761503785217606,Max,Max
13.733782768249512,0.23370645007426116,0.2722622995064121,Max,Max
13.939738750457764,0.2747666233103738,0.25976539017931644,Max,Max
14.137993812561035,0.22877031839990336,0.3077743487043263,Max,Max
14.337660789489746,0.27390989986598546,0.26553572705822115,Max,Max
14.52542519569397,0.2910920843580508,0.2689380659071623,Max,Max
14.71869421005249,0.24549374562494974,0.24004783445980105,Max,Max
14.909769773483276,0.2812489684669095,0.2405838890000075,Max,Max
15.108458757400513,0.31038680392622997,0.40208997109438815,Max,Max
15.348243474960327,0.3300124067554733,0.29585034773825114,Max,Max
15.56842041015625,0.30416780328657234,0.805420952124477,Max,Max
15.771984338760376,0.30789565962394905,0.4921492452375952,Max,Max
15.963968753814697,0.2723521892082167,0.514702837335056,Max,Max
16.162137269973755,0.30902686935824497,0.39813277750116494,Max,Max
16.364479780197144,0.34513644275945465,0.36201234539165783,Max,Max
16.562054872512817,0.2502932023226504,0.5728740235196554,Max,Max
16.76531720161438,0.3231071101242372,0.4823289475810526,Max,Max
16.965861082077026,0.23267937939530325,0.6250562092297818,Max,Max
17.165738344192505,0.3020229214372919,0.5007250980632221,Max,Max
17.36595129966736,0.2172604542919373,0.6518135327540446,Max,Max
17.597453594207764,0.2676826309335443,0.7327335670152746,Max,Max
17.838486433029175,0.2740849545921076,0.7145133251796949,Max,Max
18.027981519699097,0.2668299499469088,0.6681985911610848,Max,Max
18.23427128791809,0.2728592638742552,0.7183110158348537,Max,Max
18.425105571746826,0.27771185697871315,0.6956767293573685,Max,Max
18.620198249816895,0.26166548611542284,0.7901345475582502,Max,Max
18.82014799118042,0.34602206134266356,0.7080223043683986,Max,Max
19.027596473693848,0.27329036596274625,0.794549200433646,Stranger,Max
19.224331617355347,0.27709534631866983,0.8411224162141644,Max,Max
19.421937704086304,0.30594978889458335,0.8599237396856063,Stranger,Max
19.619871139526367,0.2943355938440708,0.8056104401530982,Max,Max
19.843671798706055,0.24122888134395404,0.46328886354665455,Max,Max
20.07880973815918,0.245087915312453,0.49106172633739176,Max,Max
20.32427477836609,0.21999417326432513,0.4069329830399643,Max,Max
20.554380893707275,0.29436226481556005,0.33209598092712234,Max,Max
20.79972553253174,0.24780821418269372,0.33485151864529406,Max,Max
21.000871896743774,0.27687985333084386,0.2931227581396457,Max,Max
21.19789218902588,0.318951992544212,0.25798183976002154,Max,Max
21.403640031814575,0.2741219555090816,0.28266409453107844,Max,Max
21.598879098892212,0.34960881169149494,0.37990748335462954,Max,Max
21.81577229499817,0.33873585355978897,0.3720258426822364,Max,Max
22.024183750152588,0.3908288963337718,0.4076739295353706,Max,Max
22.218092679977417,0.31888756481996905,0.3366653235885374,Max,Max
22.415761709213257,0.3225114169997705,0.27150014230457487,Max,Max
22.615706205368042,0.31697850840749786,0.3943353593809359,Max,Max
22.847907066345215,0.3074324045308573,0.37198398871653526,Max,Max
23.08531904220581,0.33570194371180595,0.4405177077410528,Max,Max
23.31197953224182,0.2846129155387439,0.43470657194438167,Max,Max
23.547813653945923,0.27743630617897885,0.8048980869677285,Max,Max
23.792560338974,0.31127102162765474,0.5036393192871987,Max,Max
24.009153604507446,0.2980587801206137,0.38891630730225724,Max,Max
24.228514671325684,0.3469389458136404,0.45781593253281194,Max,Max
24.435165405273438,0.33884936277987376,0.5050433454976804,Max,Max
24.634917736053467,0.24463126677544111,0.45089466350214946,Max,Max
24.83223581314087,0.3911223791797772,0.4519409484051349,Max,Max
25.029778003692627,0.3648689295400819,0.4178447235592988,Max,Max
25.22642183303833,0.25331402038744044,0.41990537734144884,Max,Max
25.434435606002808,0.2551589172397656,0.3499108541963092,Max,Max
25.63460946083069,0.22954183120532745,0.3385017465075626,Max,Max
25.872008562088013,0.2502279334360292,0.39877826181037923,Max,Max
26.108449697494507,0.2601502777604615,0.2910260596871783,Max,Max
26.341180324554443,0.23071302188624965,0.40150119178707167,Max,Max
26.5619957447052,0.23219188767744758,0.31370300123504813,Max,Max
26.775331020355225,0.2600662692416942,0.39954001579827814,Max,Max
26.97799253463745,0.24068897940086087,0.28668031697606233,Max,Max
27.1794011592865,0.2580707812999482,0.26128866399098505,Max,Max
27.390392780303955,0.2208710432880413,0.3324320940570037,Max,Max
27.584487199783325,0.3079246505413815,0.35493595045678294,Max,Max
27.784080982208252,0.25930674645087526,0.24638039688905256,Max,Max
